review_decision,review_note,normalized_brand,query_category,primary_country,observed_market_region_codes,current_company,proposed_company,proposed_ownership_resolution_status,company_mapping_would_change,product_count,example_product_names,example_off_brands_raw
,,balisto,snacks,Belgium,BENELUX|FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Balisto Céréal | Muesil goût noisettes et raisin,Balisto | Balisto
,,ballygowan,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Still Natural Mineral Water | Ballygowan Sparkling Pear & Raspberry Can,Ballygowan | Ballygowan
,,balocco,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,"Balocco, wafers, crema cacao | Cubes Milk Vanilla Wafers",Balocco | Balocco
,,bam,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Tatou | Orange is the new BAM,BAM | BAM
,,bamalou,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Bethmale de Bamalou | Bethmale de Bamalou,Bamalou | Bamalou
,,bambi,snacks,Bosnia And Herzegovina,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,plazma mlevena | Whole-wheat biscuits with added vitamins and chocolate,bambi | Bambi
,,bamboo,cereals,Belgium,BENELUX|FRANCE|DACH,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Bamboo Natural Goodness Dark Chocolate & Fleur de Sel | CARAMELISED ALMONDS & PECANS,"Bamboo, Bamboo Goodness | Bamboo"
,,bamboo tree,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Coconut milk | Coconut water,Bamboo Tree | BAMBOO TREE
,,bananarama,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Bananarama Banaan Wortel Appel | Bananarama Organic,Bananarama | Bananarama
,,banania,dairies,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,"Le Bon Lait au Chocolat | Banania, Boisson lactée au chocolat",Banania | Banania
,,bandar monkey foods,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,"Bandar, lentil crisps poppadums, original cumin | Bandar monkey foods, lentil crisps, green chili garlic",Bandar Monkey Foods | Bandar Monkey Foods
,,bangkok cookies,snacks,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,"Bangkok cookies, thai rice crackers, crab curry | Bangkok cookies, thai rice crackers, tom yum",Bangkok Cookies | Bangkok Cookies
,,banner road baking company,cereals,United States,US_CANADA,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,"kickstart granola | Oh Snap! Ginger + Molasses Organic Granola, Oh Snap!",Banner Road Baking Company | Banner road baking company
,,bar le duc,beverages,France,FRANCE|BENELUX,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Orange Mango | Bar-le-Duc plate,Bar-le-duc | Bar-le-duc
,,baramel,beverages,France,FRANCE,Other / not mapped to a company,Other / not mapped to a company,unresolved,False,2,Cidre bouché biologique | Jus de Pomme Pétillant,Baramel | Baramel
